"scenario","model_label","quantity","region","year","q025","q10","q25","q50","q75","q90","q975","n_runs"
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1991,-0.453606762549573,-0.444599716097034,-0.429440300995299,-0.386993094165235,-0.319996762953757,-0.189030459171114,-0.176381359076883,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1991,-0.41775141638604,-0.376050068975735,-0.336231464620589,-0.305707135046677,-0.259076066421443,0.0240060330470075,0.184847535771881,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1991,0.0877523639642593,0.163533659747206,0.242662762341719,0.312283198369079,0.367701185785916,0.503081264116243,0.591981794294936,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1992,-0.591520953155826,-0.561993958986303,-0.438659614411221,-0.237679834534089,-0.126309360201009,-0.00207288020527304,0.0131386317333923,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1992,-0.624312885835278,-0.594993602277335,-0.516004390624634,-0.434790512585631,-0.172566924642291,-0.0693536185559588,-0.0507199527595281,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1992,-1.01120439400445,-0.942400552101273,-0.871248613724908,-0.732746564095114,-0.629974356018212,-0.196075306326123,-0.128422079816423,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1992,-0.124600803757292,-0.0186500628585668,0.0220030313938398,0.0413403663585167,0.109029953757283,0.164183728311524,0.19115710521147,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1992,-0.224505618397718,-0.126593974475199,-0.0740414454832953,0.0525932109890814,0.37553779601693,0.447665490152655,0.498275649430581,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1993,-1.31689419460102,-1.25412039033361,-1.2263719453656,-1.15172071397612,-1.11412512573763,-1.07073042784667,-0.907656886738558,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1993,0.397639273979546,0.449954761787087,0.491824139720401,0.687392951196869,0.747719213955697,0.773816499730648,0.785154074081304,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1993,-0.518424826093951,-0.494025163625998,-0.479357742803253,-0.449414934466779,-0.403957574294137,-0.127352436359186,-0.0384007868606395,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1993,0.158069207679614,0.183638432563362,0.248048024414392,0.359143097334835,0.370707914240455,0.381303077804196,0.39256716578229,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1993,-0.405451450180121,-0.3793711020591,-0.120061487915635,0.00283011833660712,0.169288578909871,0.197828822764799,0.212214810745503,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1994,-0.972369365830895,-0.960162265913527,-0.936159538710042,-0.775698910900651,-0.674956020962948,-0.628886192242164,-0.592253917409892,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1994,-0.265454566406373,-0.224978128730047,-0.171598756371197,-0.139860701034483,-0.0741186362144377,-0.0240613040587698,0.0881737826933492,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1994,-2.101698139373,-2.06171365294316,-2.03533231916276,-1.96186033446121,-1.92857052395203,-0.840786468356794,-0.770302073681182,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1994,0.116171675497345,0.140042225021732,0.320697714097654,0.414817597956295,0.571138447296278,0.676447541140034,0.716873506918903,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1994,-0.0179131123763609,0.0195501816933913,0.122279070324596,0.229684051618794,0.300928041400388,0.409174010197219,0.44496978314904,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1995,-0.505326933938692,-0.485050839263803,-0.408193039689514,-0.348085723678544,-0.24003634159979,-0.204372554910094,-0.176956297947506,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1995,0.144540706058818,0.288484663531689,0.333727558751352,0.725794765272265,0.865564115416825,0.888230393700769,0.921928027027608,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1995,-1.30331144419462,-1.13121644641531,-1.03651595989859,-1.0183443496303,-0.986953916186797,-0.97586459895389,-0.963187738597213,25
